Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-28 00:00:00-05:00,86.5912450693575,88.67996325193205,86.43790838917894,88.03285217285156,27650000,0.0,0.0
2020-12-29 00:00:00-05:00,88.69138091250761,88.75291246047898,87.0974215338382,87.22892761230469,19726000,0.0,0.0
2020-12-30 00:00:00-05:00,87.58820379818833,87.72516940602775,85.75207866076447,86.16148376464844,21026000,0.0,0.0
2020-12-31 00:00:00-05:00,86.21211520633824,87.21602750872316,86.15355195162485,86.974853515625,21070000,0.0,0.0
2021-01-04 00:00:00-05:00,87.34009136550215,87.46365423127112,84.71691336278822,85.65929412841797,37324000,0.0,0.0
2021-01-05 00:00:00-05:00,85.60766776688526,86.68651421531872,85.20123853878756,86.35005950927734,20360000,0.0,0.0
2021-01-06 00:00:00-05:00,84.37547823924433,86.54459001427169,84.16903787338767,85.49799346923828,46588000,0.0,0.0
2021-01-07 00:00:00-05:00,85.69053939531456,88.22439556368579,85.69053939531456,88.05170440673828,41936000,0.0,0.0
2021-01-08 00:00:00-05:00,88.19164922097684,89.29332585763812,87.40062131631798,89.21739959716797,35484000,0.0,0.0
2021-01-11 00:00:00-05:00,88.18469390854133,88.54993804991724,86.95002711090964,87.15596771240234,34796000,0.0,0.0
2021-01-12 00:00:00-05:00,86.6135656079174,87.73211302288776,85.17543429898133,86.22003936767578,29528000,0.0,0.0
2021-01-13 00:00:00-05:00,85.71834159853628,87.16094827201765,85.71834159853628,86.7073745727539,23432000,0.0,0.0
2021-01-14 00:00:00-05:00,86.78774893221043,87.7147504644655,85.65629851518884,85.89698028564453,29212000,0.0,0.0
2021-01-15 00:00:00-05:00,85.80269009081528,86.72571621304921,84.94368675719375,85.73321533203125,31444000,0.0,0.0
2021-01-19 00:00:00-05:00,86.49646051814078,89.51564826858593,85.99177462608301,88.55441284179688,41660000,0.0,0.0
2021-01-20 00:00:00-05:00,90.63369841737502,94.273699131295,90.29327584791857,93.29856872558594,64152000,0.0,0.0
2021-01-21 00:00:00-05:00,93.9724816453864,95.8795659562927,93.26581533779938,93.50103759765625,58634000,0.0,0.0
2021-01-22 00:00:00-05:00,93.86379288072814,94.50544439835653,93.12140106015978,93.91838073730469,32744000,0.0,0.0
2021-01-25 00:00:00-05:00,94.91982096292158,95.37041878796863,92.26090988552441,94.00373840332031,50586000,0.0,0.0
2021-01-26 00:00:00-05:00,93.59234042721772,95.06918077277226,93.10304122733542,94.6821060180664,31462000,0.0,0.0
2021-01-27 00:00:00-05:00,93.0424981499985,93.31841329790922,89.19010540093252,90.26498413085938,82512000,0.0,0.0
2021-01-28 00:00:00-05:00,90.86346464048778,93.69159105835183,90.86346464048778,91.96514129638672,55278000,0.0,0.0
2021-01-29 00:00:00-05:00,91.01333383693596,91.68426702027512,89.40251113891038,90.68283081054688,44530000,0.0,0.0
2021-02-01 00:00:00-05:00,91.53786168051741,95.0587592331075,91.53786168051741,93.94368743896484,40252000,0.0,0.0
2021-02-02 00:00:00-05:00,94.93916613642043,96.7375742923494,94.60369579708804,95.23641967773438,66332000,0.0,0.0
2021-02-03 00:00:00-05:00,102.50599859407848,104.54112080046828,99.92251415054169,102.1720199584961,97882000,0.0,0.0
2021-02-04 00:00:00-05:00,102.25836545435277,102.68910899646727,100.99193325022927,101.91149139404297,48596000,0.0,0.0
2021-02-05 00:00:00-05:00,102.20576844361045,104.01112806878679,101.7313560988552,103.65829467773438,29866000,0.0,0.0
2021-02-08 00:00:00-05:00,104.21259473058925,104.95697040723631,102.39384015907453,103.44439697265625,28828000,0.0,0.0
2021-02-09 00:00:00-05:00,102.96204375401462,104.13865469002172,102.72384565242261,102.99132537841797,21892000,0.0,0.0
2021-02-10 00:00:00-05:00,103.37590903343886,104.1570097489229,101.84249703303352,103.54165649414062,25102000,0.0,0.0
2021-02-11 00:00:00-05:00,103.76597915086751,103.91484823820412,102.66727833879833,103.6543197631836,20480000,0.0,0.0
2021-02-12 00:00:00-05:00,103.20867899470525,104.18777710286646,102.90099857654532,103.96595764160156,18990000,0.0,0.0
2021-02-16 00:00:00-05:00,103.80320209991204,106.45268581815539,103.80320209991204,104.74359893798828,31004000,0.0,0.0
2021-02-17 00:00:00-05:00,103.9138410552905,105.32617384394167,103.63445788939549,105.13660430908203,20294000,0.0,0.0
2021-02-18 00:00:00-05:00,104.46072238989566,105.30385447020758,103.88159440474723,104.50091552734375,22546000,0.0,0.0
2021-02-19 00:00:00-05:00,104.59918372977481,105.13463539467114,103.39031525447268,103.65729522705078,37938000,0.0,0.0
2021-02-22 00:00:00-05:00,101.9099993387489,103.23647893744953,101.63210028023519,101.9427490234375,29466000,0.0,0.0
2021-02-23 00:00:00-05:00,99.94434439439259,102.84790471803919,98.7652498236748,102.2335433959961,34658000,0.0,0.0
2021-02-24 00:00:00-05:00,100.74082627734853,103.63297538297377,100.61627147183141,103.40916442871094,22608000,0.0,0.0
2021-02-25 00:00:00-05:00,102.02563613624613,103.36898668140547,99.57217340027847,100.0416259765625,41548000,0.0,0.0
2021-02-26 00:00:00-05:00,100.73635761176493,102.0548939056203,99.30021020364278,100.33737182617188,40042000,0.0,0.0
2021-03-01 00:00:00-05:00,101.63209913010583,103.03301325641854,100.95819013474573,102.70697784423828,26060000,0.0,0.0
2021-03-02 00:00:00-05:00,102.46777579992727,103.9515673872358,102.06234608378273,102.44991302490234,25564000,0.0,0.0
2021-03-03 00:00:00-05:00,101.82812222319419,103.02110427360444,98.95234399009125,99.81632232666016,33892000,0.0,0.0
2021-03-04 00:00:00-05:00,99.98801971974596,102.95162763201309,99.51955914782164,100.93387603759766,49216000,0.0,0.0
