Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-28 00:00:00-05:00,215.36873378700318,216.88480862933818,213.99659871863554,215.8581085205078,17933500,0.0,0.0
2020-12-29 00:00:00-05:00,217.1534351478008,217.98823003223873,214.53389577009193,215.08082580566406,17403200,0.0,0.0
2020-12-30 00:00:00-05:00,216.11715427573614,216.50097899696252,212.50928974470457,212.71078491210938,20272300,0.0,0.0
2020-12-31 00:00:00-05:00,212.7299675852491,213.97737223508196,210.79169311832163,213.42083740234375,20942100,0.0,0.0
2021-01-04 00:00:00-05:00,213.5263708383666,213.97735567410496,206.11872309394096,208.8822021484375,37130100,0.0,0.0
2021-01-05 00:00:00-05:00,208.4695896365908,209.67861902727174,206.97271004947524,209.0836944580078,23823000,0.0,0.0
2021-01-06 00:00:00-05:00,203.58554280387045,207.73076146630103,203.36485276551582,203.6623077392578,35930700,0.0,0.0
2021-01-07 00:00:00-05:00,205.37988746553668,210.46545121287744,205.06325222351228,209.4579315185547,27694500,0.0,0.0
2021-01-08 00:00:00-05:00,209.83217627824564,211.65531085549392,208.24894131509814,210.73414611816406,22956200,0.0,0.0
2021-01-11 00:00:00-05:00,209.63066780968265,210.0528676774654,207.961063234746,208.69032287597656,23031300,0.0,0.0
2021-01-12 00:00:00-05:00,207.74034052523803,208.3160701892637,204.68901137357724,206.23385620117188,23249300,0.0,0.0
2021-01-13 00:00:00-05:00,205.3606677504283,207.9897968641936,205.27429805960307,207.5867919921875,20087100,0.0,0.0
2021-01-14 00:00:00-05:00,207.17423821247684,208.66152780549393,204.13249885511956,204.4011688232422,29480800,0.0,0.0
2021-01-15 00:00:00-05:00,204.88093687983877,205.83087188668628,203.45121734402414,204.04612731933594,31746500,0.0,0.0
2021-01-19 00:00:00-05:00,205.10159063568324,208.2008994612492,204.02691096298452,207.68275451660156,30480900,0.0,0.0
2021-01-20 00:00:00-05:00,208.89182426038445,216.6544982014575,208.4984094044723,215.26316833496094,37777300,0.0,0.0
2021-01-21 00:00:00-05:00,215.6086111691637,217.1438808555298,213.42086138301298,215.86769104003906,30709400,0.0,0.0
2021-01-22 00:00:00-05:00,217.8922525651383,220.76128121950816,216.6640430572437,216.80796813964844,30172700,0.0,0.0
2021-01-25 00:00:00-05:00,219.8497492395992,220.48304900698852,215.14801018418993,220.2431640625,33152100,0.0,0.0
2021-01-26 00:00:00-05:00,222.4789162100641,224.70504110859784,220.770936402289,222.92990112304688,49169600,0.0,0.0
2021-01-27 00:00:00-05:00,228.37046532559663,230.71174470769552,220.8284821455737,223.476806640625,69870600,0.0,0.0
